record_id,decisionNumber,decisionDate,decision_month,decision_year,domains,domain_register,authority_name
2975469,2а-223/2021,2021-01-11,2021-01,2021,['pvkgb.ru'],.ru,Металлургический районный суд г. Челябинска - Челябинская область
3049955,2а-418-2021,2021-02-17,2021-02,2021,['thomas-stege.de'],.de,Саткинский городской суд - Челябинская область
4343144,2а-1289/2021,2021-02-19,2021-02,2021,['admiralwin.fun'],.fun,Курчатовский районный суд г. Челябинска - Челябинская область
3211129,2а-625/2021,2021-02-19,2021-02,2021,['pvkgb.ru'],.ru,Правобережный районный суд г. Магнитогорска - Челябинская область
3289057,2а-629/2021,2021-02-20,2021-02,2021,['piholpua.ds216.ru'],.ru,Правобережный районный суд г. Магнитогорска - Челябинская область
3288196,2а-631/2021,2021-02-20,2021-02,2021,['kesalon.victoria-rossi.ru'],.ru,Правобережный районный суд г. Магнитогорска - Челябинская область
3139653,2а-768/2021,2021-02-24,2021-02,2021,['playfortunagl12.com'],.com,Металлургический районный суд г. Челябинска - Челябинская область
3298905,2а-780/2021,2021-02-26,2021-02,2021,['5.61.51.170'],.170,Правобережный районный суд г. Магнитогорска - Челябинская область
4205226,б/н,2021-03-01,2021-03,2021,['indi-sevastopolya.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
4200155,б/н,2021-03-01,2021-03,2021,['transymoskvyhott.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
3293731,2а-719/2021,2021-03-04,2021-03,2021,['klichina.fiola.ltd.ua'],.ua,Правобережный районный суд г. Магнитогорска - Челябинская область
3540771,2а-890/2021,2021-03-05,2021-03,2021,['tuhcsooooooon.ru'],.ru,Копейский городской суд - Челябинская область
3096345,2а-1006/2021,2021-03-10,2021-03,2021,['chelyabinsk.study-documenta.com'],.com,Копейский городской суд - Челябинская область
3321257,2а-713/2021,2021-03-10,2021-03,2021,['anonguns.net'],.net,Миасский городской суд - Челябинская область
3149028,2а-1670/2021,2021-03-11,2021-03,2021,['porevo365.ru'],.ru,Советский районный суд г. Челябинска - Челябинская область
3967593,2a-1094/2021,2021-03-12,2021-03,2021,['kopejsk.study-documenta.com'],.com,Копейский городской суд - Челябинская область
3125393,2а-901/2021,2021-03-12,2021-03,2021,['b.ekbslut.com'],.com,Металлургический районный суд г. Челябинска - Челябинская область
3221587,2а-185/2021,2021-03-12,2021-03,2021,['prostutytku-rus.com'],.com,Снежинский городской суд - Челябинская область
3206109,2а-1094/2021,2021-03-12,2021-03,2021,['kopeysk.study-documenta.com'],.com,Копейский городской суд - Челябинская область
3125343,2а-902/2021,2021-03-12,2021-03,2021,['zlatoust.soos.su'],.su,Металлургический районный суд г. Челябинска - Челябинская область
3139771,2а-3046/2021,2021-03-17,2021-03,2021,['zhahach.click'],.click,Центральный районный суд г. Челябинска - Челябинская область
3335947,2а-707/2021,2021-03-19,2021-03,2021,['dlplvels.ru'],.ru,Правобережный районный суд г. Магнитогорска - Челябинская область
3175811,2а-208/2021,2021-03-19,2021-03,2021,['d.doxy-chelyabinsk.net'],.net,Снежинский городской суд - Челябинская область
3647291,2а-1095/2021,2021-03-25,2021-03,2021,['zlatoust.narcology.clinic'],.clinic,Златоустовский городской суд - Челябинская область
3372413,2a-1612/2021,2021-04-01,2021-04,2021,['челябинск.прописка-в.рф'],.рф,Тракторозаводский районный суд г. Челябинска - Челябинская область
4496077,2а-2154/2021,2021-04-02,2021-04,2021,['sprawkionline24.net'],.net,Курчатовский районный суд г. Челябинска - Челябинская область
3357413,2а-1595/2021,2021-04-02,2021-04,2021,['erkiss4.com'],.com,Советский районный суд г. Челябинска - Челябинская область
3206048,2а-740/2021,2021-04-06,2021-04,2021,['74.spravo4ku.ru'],.ru,Саткинский городской суд - Челябинская область
3337036,2а-1058/2021,2021-04-06,2021-04,2021,['chaura.lines-x.ru'],.ru,Правобережный районный суд г. Магнитогорска - Челябинская область
3398153,2а-1056/2021,2021-04-06,2021-04,2021,['b.sosudmsk.com'],.com,Правобережный районный суд г. Магнитогорска - Челябинская область
3221813,2а-3557/2021,2021-04-07,2021-04,2021,['ivanovo.1.x-whore.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
3256356,2а-1265/2021,2021-04-08,2021-04,2021,['nsc.sibirki.com'],.com,Металлургический районный суд г. Челябинска - Челябинская область
3354519,2а-1320/2021,2021-04-14,2021-04,2021,['kopeysk.dmare.ru'],.ru,Металлургический районный суд г. Челябинска - Челябинская область
3371414,2а-1069/2021,2021-04-14,2021-04,2021,['top.siblaguna.org'],.org,Металлургический районный суд г. Челябинска - Челябинская область
3460309,2а-1069/2021,2021-04-14,2021-04,2021,['top.siblaguna.org'],.org,Металлургический районный суд г. Челябинска - Челябинская область
3266653,2а-162/2021,2021-04-15,2021-04,2021,['shpok.me'],.me,Нагайбакский районный суд - Челябинская область
3245993,2а-1325/2021,2021-04-19,2021-04,2021,['zlatoust.study-documentas.com'],.com,Златоустовский городской суд - Челябинская область
3635874,2a-326/2021,2021-04-19,2021-04,2021,['marrauders.bandcamp.com'],.com,Агаповский районный суд - Челябинская область
3357630,2а-1882/2021,2021-04-21,2021-04,2021,['zhahach.click'],.click,Советский районный суд г. Челябинска - Челябинская область
3336228,2а-372/2021,2021-04-29,2021-04,2021,['lurklurk.com'],.com,Еманжелинский городской суд - Челябинская область
3349939,2а-381/2021,2021-04-30,2021-04,2021,['memchik.club'],.club,Еманжелинский городской суд - Челябинская область
3576125,2a-208/2021,2021-04-30,2021-04,2021,['krotov.info'],.info,Нагайбакский районный суд - Челябинская область
3790827,2а-2075/2021,2021-05-07,2021-05,2021,['animerus.xyz'],.xyz,Курчатовский районный суд г. Челябинска - Челябинская область
3652543,2a-346/2021,2021-05-13,2021-05,2021,['orgasmnostradamusa.bandcamp.com'],.com,Кунашакский районный суд - Челябинская область
3739053,2a-1370/2021,2021-05-27,2021-05,2021,['probivaem.net'],.net,Саткинский городской суд - Челябинская область
3403819,2а-3434/2021,2021-06-01,2021-06,2021,['bbiz.chat'],.chat,Курчатовский районный суд г. Челябинска - Челябинская область
3705760,2a-4885/2021,2021-06-01,2021-06,2021,['glgroup.pl'],.pl,Центральный районный суд г. Челябинска - Челябинская область
3439799,2a-4777/2021,2021-06-08,2021-06,2021,['piter3.otsos18.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
3444794,2a-4778/2021,2021-06-08,2021-06,2021,['b.sekasov.org'],.org,Центральный районный суд г. Челябинска - Челябинская область
3560593,2a-2959/2021,2021-06-11,2021-06,2021,['theatretabard.com'],.com,Советский районный суд г. Челябинска - Челябинская область
3571080,2a-1808/2021,2021-06-17,2021-06,2021,['miass.soos.su'],.su,Миасский городской суд - Челябинская область
3983214,2a-3089/2021,2021-06-21,2021-06,2021,['milk89.com'],.com,Советский районный суд г. Челябинска - Челябинская область
3478939,2а-548/2021,2021-06-21,2021-06,2021,['chutelki.noputin.ru'],.ru,Кыштымский городской суд - Челябинская область
3481453,2a-550/2021,2021-06-21,2021-06,2021,['avallon.info'],.info,Кыштымский городской суд - Челябинская область
3983276,2a-2998/2021,2021-06-22,2021-06,2021,['4zzy.net'],.net,Советский районный суд г. Челябинска - Челябинская область
3429577,М-4118/2021,2021-06-28,2021-06,2021,['kotlas.pr-13.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
3429643,М-4118/2021,2021-06-28,2021-06,2021,['kotlas.soos.su'],.su,Центральный районный суд г. Челябинска - Челябинская область
3553785,2a-2124/2021,2021-06-28,2021-06,2021,['cheliabinsk.transi-mos.com'],.com,Металлургический районный суд г. Челябинска - Челябинская область
3444341,2a-230/2021,2021-06-29,2021-06,2021,['chelyabinsk.studys-doc.com'],.com,Кусинский районный суд - Челябинская область
3605426,2a-5766/2021,2021-07-02,2021-07,2021,['rusprawkaonline-msk.net'],.net,Центральный районный суд г. Челябинска - Челябинская область
3479214,2a-175/2021,2021-07-05,2021-07,2021,['porezat.ru'],.ru,Нязепетровский районный суд - Челябинская область
3483783,2a-177/2021,2021-07-05,2021-07,2021,['shop.anonguns.net'],.net,Нязепетровский районный суд - Челябинская область
3456735,б/н,2021-07-05,2021-07,2021,['indi-kazani.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
3914230,2a-5852/2021,2021-07-06,2021-07,2021,['ru.b-ok.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
3582723,2a-3417/2021,2021-07-07,2021-07,2021,['piski-siski.com'],.com,Советский районный суд г. Челябинска - Челябинская область
3474289,2a-2589/2021,2021-07-07,2021-07,2021,['store.anonguns.net'],.net,Копейский городской суд - Челябинская область
3983159,2a-3074/2021,2021-07-08,2021-07,2021,['movs18plus.com'],.com,Советский районный суд г. Челябинска - Челябинская область
3582634,2a-2787/2021,2021-07-08,2021-07,2021,['onecred.name'],.name,Тракторозаводский районный суд г. Челябинска - Челябинская область
3688369,2a-5632/2021,2021-07-08,2021-07,2021,['ivanovo.individualka-tut.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
3671473,2a-577/2021,2021-07-09,2021-07,2021,['chelyabinsk.studys-doc.com'],.com,Агаповский районный суд - Челябинская область
3676088,2a-393/2021,2021-07-12,2021-07,2021,['l.doxy-chelyabinsk.net'],.net,Пластский городской суд - Челябинская область
3631256,2a-1860/2021,2021-07-14,2021-07,2021,['miass.1.x-whore.com'],.com,Миасский городской суд - Челябинская область
3477935,М-4518/2021,2021-07-14,2021-07,2021,['f.indi-msk.club'],.club,Центральный районный суд г. Челябинска - Челябинская область
3616277,2a-5894/2021,2021-07-15,2021-07,2021,['kerchy.soos.su'],.su,Центральный районный суд г. Челябинска - Челябинская область
3982970,2a-3706/2021,2021-07-19,2021-07,2021,['golye.net'],.net,Советский районный суд г. Челябинска - Челябинская область
3982975,2a-3704/2021,2021-07-19,2021-07,2021,['craftunion.ru'],.ru,Советский районный суд г. Челябинска - Челябинская область
3962254,2a-3707/2021,2021-07-19,2021-07,2021,['titki.me'],.me,Советский районный суд г. Челябинска - Челябинская область
3961688,2a-3712/2021,2021-07-19,2021-07,2021,['xn----ztbcbceder.me'],.me,Советский районный суд г. Челябинска - Челябинская область
3962044,2a-3705/2021,2021-07-19,2021-07,2021,['russianspycam.com'],.com,Советский районный суд г. Челябинска - Челябинская область
3515013,2a-3868/2021,2021-07-21,2021-07,2021,['b.egoistki.xyz'],.xyz,Курчатовский районный суд г. Челябинска - Челябинская область
3515612,б/н,2021-07-26,2021-07,2021,['go.cheleba.vip'],.vip,Центральный районный суд г. Челябинска - Челябинская область
3647937,2a-2747/2021,2021-07-29,2021-07,2021,['pizdushka.com'],.com,Ленинский районный суд г. Челябинска - Челябинская область
3593377,2a-2383/2021,2021-07-29,2021-07,2021,['a.shlyuhi-moscow.com'],.com,Металлургический районный суд г. Челябинска - Челябинская область
3593384,2a-2378/2021,2021-07-29,2021-07,2021,['moscow-1.russia.x-narod.ru'],.ru,Металлургический районный суд г. Челябинска - Челябинская область
3574767,2a-1870/2021,2021-07-30,2021-07,2021,['miass.dmare.ru'],.ru,Миасский городской суд - Челябинская область
3569637,2a-4010/2021,2021-08-02,2021-08,2021,['hello.x-chel.org'],.org,Курчатовский районный суд г. Челябинска - Челябинская область
3628183,2a-194/2021,2021-08-06,2021-08,2021,['pontorez.net'],.net,Нязепетровский районный суд - Челябинская область
3628104,2a-198/2021,2021-08-06,2021-08,2021,['chel.cheleba.vip'],.vip,Нязепетровский районный суд - Челябинская область
3627925,2a-199/2021,2021-08-06,2021-08,2021,['hide-forums.ru'],.ru,Нязепетровский районный суд - Челябинская область
3597446,2a-675/2021,2021-08-06,2021-08,2021,['tr.indi-best.com'],.com,Снежинский городской суд - Челябинская область
3602695,2a-674/2021,2021-08-06,2021-08,2021,['sibirki.com'],.com,Снежинский городской суд - Челябинская область
3602298,2a-677/2021,2021-08-06,2021-08,2021,['msk4.slustena.net'],.net,Снежинский городской суд - Челябинская область
3601903,2a-683/2021,2021-08-06,2021-08,2021,['syktyvkar.kat40.ru'],.ru,Снежинский городской суд - Челябинская область
3652346,2a-2435/2021,2021-08-06,2021-08,2021,['o.malvinki.net'],.net,Металлургический районный суд г. Челябинска - Челябинская область
3692616,2a-3476/2021,2021-08-09,2021-08,2021,['sweetix.me'],.me,Советский районный суд г. Челябинска - Челябинская область
3747813,2а-6777/2021,2021-08-10,2021-08,2021,['g.bordeli.biz'],.biz,Центральный районный суд г. Челябинска - Челябинская область
3631357,2a-2462/2021,2021-08-10,2021-08,2021,['zlatoust.studys-doc.com'],.com,Златоустовский городской суд - Челябинская область
3803051,2a-6787/2021,2021-08-12,2021-08,2021,['c.nb-kirov.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
3627478,2a-905/2021,2021-08-12,2021-08,2021,['clayclay.ru'],.ru,Коркинский городской суд - Челябинская область
3660872,2a-6785/2021,2021-08-12,2021-08,2021,['escort-girl.club'],.club,Центральный районный суд г. Челябинска - Челябинская область
3598448,2a-700/2021,2021-08-13,2021-08,2021,['pskov.soos.su'],.su,Снежинский городской суд - Челябинская область
3602110,2a-693/2021,2021-08-13,2021-08,2021,['d.shlyuhi.org'],.org,Снежинский городской суд - Челябинская область
3747035,2а-6662/2021,2021-08-16,2021-08,2021,['hsc.sibirki.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
3653063,2a-3409/2021,2021-08-17,2021-08,2021,['4len.net'],.net,Советский районный суд г. Челябинска - Челябинская область
3729754,2a-6665/2021,2021-08-19,2021-08,2021,['a.nb-rostov.club'],.club,Центральный районный суд г. Челябинска - Челябинская область
3652349,2a-2766/2021,2021-08-24,2021-08,2021,['verified.pk'],.pk,Металлургический районный суд г. Челябинска - Челябинская область
4007070,2а-6720/2021,2021-08-30,2021-08,2021,['go.cheleba.vip'],.vip,Центральный районный суд г. Челябинска - Челябинская область
4007545,2-482/2021,2021-08-30,2021-08,2021,['kordon.org.ua'],.ua,Еткульский районный суд - Челябинская область
4007723,2-482/2021,2021-08-30,2021-08,2021,['kompromat.xyz'],.xyz,Еткульский районный суд - Челябинская область
4007230,2-482/2021,2021-08-30,2021-08,2021,['kompromat.xyz'],.xyz,Еткульский районный суд - Челябинская область
4007115,2-482/2021,2021-08-30,2021-08,2021,['kompromat.xyz'],.xyz,Еткульский районный суд - Челябинская область
3681386,2a-786/2021,2021-08-30,2021-08,2021,['emanzhelinsk.doc-avto.info'],.info,Еманжелинский городской суд - Челябинская область
3758314,2a-6508/2021,2021-08-31,2021-08,2021,['apatity.pr-13.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
3904294,2a-4264/2021,2021-08-31,2021-08,2021,['m.cheleba.vip'],.vip,Курчатовский районный суд г. Челябинска - Челябинская область
3681429,2a-213/2021,2021-09-07,2021-09,2021,['avto-talon.ru'],.ru,Нязепетровский районный суд - Челябинская область
3776498,2a-4037/2021,2021-09-15,2021-09,2021,['kegilya.net'],.net,Калининский районный суд г. Челябинска - Челябинская область
3655552,2a-889/2021,2021-09-16,2021-09,2021,['studys-docs.com'],.com,Еманжелинский городской суд - Челябинская область
3723538,2a-3412/2021,2021-09-17,2021-09,2021,['dildos.pro'],.pro,Советский районный суд г. Челябинска - Челябинская область
3914365,2a-4708/2021,2021-09-20,2021-09,2021,['l.doxy-chelyabinsk.net'],.net,Курчатовский районный суд г. Челябинска - Челябинская область
4013800,2а-2519/2021,2021-09-22,2021-09,2021,['miass.school-reg.ru'],.ru,Миасский городской суд - Челябинская область
3740423,2a-1087/2021,2021-09-24,2021-09,2021,['lawans.ru'],.ru,Коркинский городской суд - Челябинская область
3740430,2a-1081/2021,2021-09-24,2021-09,2021,['nolduanews.com'],.com,Коркинский городской суд - Челябинская область
3740566,2a-1085/2021,2021-09-24,2021-09,2021,['doxygon.ru'],.ru,Коркинский городской суд - Челябинская область
3779290,2a-3661/2021,2021-09-30,2021-09,2021,['onecred.club'],.club,Тракторозаводский районный суд г. Челябинска - Челябинская область
3820646,2a-3100/2021,2021-09-30,2021-09,2021,['g.avroramodels.net'],.net,Металлургический районный суд г. Челябинска - Челябинская область
3778791,2a-3662/2021,2021-09-30,2021-09,2021,['chelyabinsk-kredits.ru'],.ru,Тракторозаводский районный суд г. Челябинска - Челябинская область
3698386,б/н,2021-10-01,2021-10,2021,['indi-nefteuganska.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
4007109,2а-4645/2021,2021-10-01,2021-10,2021,['go.cheleba.vip'],.vip,Курчатовский районный суд г. Челябинска - Челябинская область
3702553,2а-8329/2021,2021-10-04,2021-10,2021,['individualki-saransk.ru'],.ru,Центральный районный суд г. Челябинска - Челябинская область
3703169,2а-8329/2021,2021-10-04,2021-10,2021,['saransk3.luxe-indi.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
3746603,2а-940/2021,2021-10-11,2021-10,2021,['chaschina1.top'],.top,Еманжелинский городской суд - Челябинская область
3847924,2a-2464/2021,2021-10-11,2021-10,2021,['piter4.otsos18.com'],.com,Сосновский районный суд - Челябинская область
3971923,2a-3305/2021,2021-10-14,2021-10,2021,['chelyabinsk.studys-docs.com'],.com,Металлургический районный суд г. Челябинска - Челябинская область
3767663,2a-7823/2021,2021-10-18,2021-10,2021,['b.malvinki.net'],.net,Центральный районный суд г. Челябинска - Челябинская область
3849398,2a-3389/2021,2021-10-22,2021-10,2021,['eko-tariff.ru'],.ru,Металлургический районный суд г. Челябинска - Челябинская область
3956989,2a-4083/2021,2021-10-26,2021-10,2021,['i12.gurman.fun'],.fun,Калининский районный суд г. Челябинска - Челябинская область
3812108,2a-940/2021,2021-10-29,2021-10,2021,['chaschina1.top'],.top,Еманжелинский городской суд - Челябинская область
3808244,2a-8993/2021,2021-11-02,2021-11,2021,['labytnangi.soos.su'],.su,Центральный районный суд г. Челябинска - Челябинская область
4006943,2а-8765/2021,2021-11-03,2021-11,2021,['nefteyugansk.ero-paradise.org'],.org,Центральный районный суд г. Челябинска - Челябинская область
3795006,2a-673/2021,2021-11-08,2021-11,2021,['zaoisct.ru'],.ru,Верхнеуфалейский городской суд - Челябинская область
3795109,2a-673/2021,2021-11-08,2021-11,2021,['harlots24.ru'],.ru,Верхнеуфалейский городской суд - Челябинская область
3795302,2a-673/2021,2021-11-08,2021-11,2021,['sakaryatravestiler.info'],.info,Верхнеуфалейский городской суд - Челябинская область
3795400,2a-671/2021,2021-11-08,2021-11,2021,['my.cheleba.vip'],.vip,Верхнеуфалейский городской суд - Челябинская область
3795685,2a-672/2021,2021-11-08,2021-11,2021,['tele-vika.ru'],.ru,Верхнеуфалейский городской суд - Челябинская область
3828857,2a-3480/2021,2021-11-08,2021-11,2021,['myasorubka.me'],.me,Металлургический районный суд г. Челябинска - Челябинская область
3849565,2a-8749/2021,2021-11-24,2021-11,2021,['engelys.pr-13.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
3991290,2a-3300/2021,2021-11-29,2021-11,2021,['magnitogorsk.isev.su'],.su,Правобережный районный суд г. Магнитогорска - Челябинская область
3858845,2a-715/2021,2021-12-01,2021-12,2021,['indi-miassa.com'],.com,Верхнеуфалейский городской суд - Челябинская область
3858841,2a-716/2021,2021-12-01,2021-12,2021,['escortwoman.online'],.online,Верхнеуфалейский городской суд - Челябинская область
3858893,2a-716/2021,2021-12-01,2021-12,2021,['pickupsluts.store'],.store,Верхнеуфалейский городской суд - Челябинская область
3867253,2a-9469/2021,2021-12-01,2021-12,2021,['davalki72.us'],.us,Центральный районный суд г. Челябинска - Челябинская область
3875835,2a-542/2021,2021-12-02,2021-12,2021,['a.doc-medic.club'],.club,Нагайбакский районный суд - Челябинская область
4146108,2-5735/2021,2021-12-09,2021-12,2021,['www.moshennik.eu'],.eu,Курчатовский районный суд г. Челябинска - Челябинская область
4017298,2а-5714/2021,2021-12-10,2021-12,2021,['74.med-i4ka.ru'],.ru,Калининский районный суд г. Челябинска - Челябинская область
3977916,2a-4664/2021,2021-12-14,2021-12,2021,['chelyabinsk.snus-land.ru'],.ru,Тракторозаводский районный суд г. Челябинска - Челябинская область
3904674,2a-719/2021,2021-12-14,2021-12,2021,['zlatoust.pr-13.com'],.com,Верхнеуфалейский городской суд - Челябинская область
3914322,2a-720/2021,2021-12-14,2021-12,2021,['individualki-zlatousta.ru'],.ru,Верхнеуфалейский городской суд - Челябинская область
3967371,2a-2513/2021,2021-12-20,2021-12,2021,['cashtopgold.com'],.com,Саткинский городской суд - Челябинская область
4455387,2a-9360/2021,2021-12-20,2021-12,2021,['rulibs.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
4074916,2a-9360/2021,2021-12-20,2021-12,2021,['www.politexpert.org'],.org,Центральный районный суд г. Челябинска - Челябинская область
4086008,2a-9413/2021,2021-12-22,2021-12,2021,['az.b-ok.africa'],.africa,Центральный районный суд г. Челябинска - Челябинская область
4086252,2a-9412/2021,2021-12-22,2021-12,2021,['www.wotanjugend.info'],.info,Центральный районный суд г. Челябинска - Челябинская область
3992408,2a-1063/2021,2021-12-24,2021-12,2021,['kdotrans.ru'],.ru,Снежинский городской суд - Челябинская область
3971679,2a-57/2022,2022-01-10,2022-01,2022,['escortwoman.site'],.site,Еманжелинский городской суд - Челябинская область
4183510,2a-1195/2022,2022-01-10,2022-01,2022,['zalupok.net'],.net,Советский районный суд г. Челябинска - Челябинская область
4036520,2а-550/2022,2022-01-11,2022-01,2022,['www.ebyt.cc'],.cc,Ленинский районный суд г. Челябинска - Челябинская область
4207251,2a-1187/2022,2022-01-19,2022-01,2022,['www.trahru.vip'],.vip,Советский районный суд г. Челябинска - Челябинская область
4018244,2а-36/2022,2022-01-20,2022-01,2022,['mossprawka.24med.space'],.space,Нагайбакский районный суд - Челябинская область
4041085,2а-432/2022,2022-01-20,2022-01,2022,['chelyabinsk.medknizjki.ru'],.ru,Златоустовский городской суд - Челябинская область
4122250,2a-1889/2022,2022-01-21,2022-01,2022,['4pok-voronezh.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
4507985,2а-1972/2022,2022-01-24,2022-01,2022,['www.maturepie.com'],.com,Центральный районный суд г. Челябинска - Челябинская область
4060903,2a-413/2022,2022-01-25,2022-01,2022,['magnitogorsk3.butterflies-495.com'],.com,Правобережный районный суд г. Магнитогорска - Челябинская область
4061000,2a-414/2022,2022-01-25,2022-01,2022,['gogo-magnitogorsk.com'],.com,Правобережный районный суд г. Магнитогорска - Челябинская область
4237630,2a-797/2022,2022-01-27,2022-01,2022,['zakaz-bolnjchnieh.com'],.com,Курчатовский районный суд г. Челябинска - Челябинская область
4168096,2a-793/2022,2022-01-27,2022-01,2022,['fap-guru.club'],.club,Курчатовский районный суд г. Челябинска - Челябинская область
4061851,2а-119/2022,2022-01-28,2022-01,2022,['s1.nsk54-sosamba.ru'],.ru,Снежинский городской суд - Челябинская область
